db_name,operation,count,total_time_micros,avg_time_micros,throughput_ops_per_sec
LSM Tree,put,1000,239,0.239,4184100.418410042
LSM Tree,get,100,7,0.07,14285714.285714284
LSM Tree,delete,10,4,0.4,2500000
LSM Tree,range,10,1,0.1,10000000
LSM Tree,put,1000,1267,1.267,789265.9826361485
LSM Tree,get,100,40,0.4,2500000
LSM Tree,delete,10,21,2.1,476190.47619047615
LSM Tree,range,10,7,0.7,1428571.4285714286
LSM Tree,put,1000,795,0.795,1257861.6352201258
LSM Tree,get,100,24,0.24,4166666.666666667
LSM Tree,delete,10,13,1.3,769230.7692307692
LSM Tree,range,10,4,0.4,2500000
LSM Tree,put,1000,1346,1.346,742942.0505200594
LSM Tree,get,100,43,0.43,2325581.395348837
LSM Tree,delete,10,22,2.2,454545.45454545453
LSM Tree,range,10,7,0.7,1428571.4285714286
LSM Tree,put,1000,1037,1.037,964320.1542912248
LSM Tree,get,100,33,0.33,3030303.0303030303
LSM Tree,delete,10,17,1.7,588235.2941176471
LSM Tree,range,10,5,0.5,2000000
LSM Tree,put,1000,1206,1.206,829187.3963515755
LSM Tree,get,100,37,0.37,2702702.702702703
LSM Tree,delete,10,19,1.9,526315.7894736843
LSM Tree,range,10,6,0.6,1666666.6666666667
LSM Tree,put,1000,1199,1.199,834028.3569641367
LSM Tree,get,100,37,0.37,2702702.702702703
LSM Tree,delete,10,21,2.1,476190.47619047615
LSM Tree,range,10,6,0.6,1666666.6666666667
LSM Tree,put,1000,1058,1.058,945179.5841209829
LSM Tree,get,100,35,0.35,2857142.8571428573
LSM Tree,delete,10,17,1.7,588235.2941176471
LSM Tree,range,10,6,0.6,1666666.6666666667
LSM Tree,put,1000,1222,1.222,818330.6055646482
LSM Tree,get,100,38,0.38,2631578.947368421
LSM Tree,delete,10,21,2.1,476190.47619047615
LSM Tree,range,10,7,0.7,1428571.4285714286
LSM Tree,put,1000,747,0.747,1338688.0856760375
LSM Tree,get,100,23,0.23,4347826.0869565215
LSM Tree,delete,10,12,1.2,833333.3333333334
LSM Tree,range,10,4,0.4,2500000
LSM Tree,put,1000,432,0.432,2314814.814814815
LSM Tree,get,100,13,0.13,7692307.692307692
LSM Tree,delete,10,7,0.7,1428571.4285714286
LSM Tree,range,10,2,0.2,5000000
LSM Tree,put,1000,1219,1.219,820344.5447087777
LSM Tree,get,100,45,0.45,2222222.222222222
LSM Tree,delete,10,20,2,500000
LSM Tree,range,10,7,0.7,1428571.4285714286
LSM Tree,put,1000,813,0.813,1230012.3001230012
LSM Tree,get,100,25,0.25,4000000
LSM Tree,delete,10,14,1.4,714285.7142857143
LSM Tree,range,10,4,0.4,2500000
LSM Tree,put,1000,747,0.747,1338688.0856760375
LSM Tree,get,100,24,0.24,4166666.666666667
LSM Tree,delete,10,12,1.2,833333.3333333334
LSM Tree,range,10,4,0.4,2500000
LSM Tree,put,1000,604,0.604,1655629.1390728478
LSM Tree,get,100,19,0.19,5263157.894736842
LSM Tree,delete,10,10,1,1000000
LSM Tree,range,10,4,0.4,2500000
LSM Tree,put,1000,794,0.794,1259445.8438287154
LSM Tree,get,100,25,0.25,4000000
LSM Tree,delete,10,13,1.3,769230.7692307692
LSM Tree,range,10,5,0.5,2000000
LSM Tree,put,1000,1229,1.229,813669.6501220504
LSM Tree,get,100,39,0.39,2564102.564102564
LSM Tree,delete,10,19,1.9,526315.7894736843
LSM Tree,range,10,7,0.7,1428571.4285714286
LSM Tree,put,1000,1255,1.255,796812.7490039842
LSM Tree,get,100,39,0.39,2564102.564102564
LSM Tree,delete,10,21,2.1,476190.47619047615
LSM Tree,range,10,6,0.6,1666666.6666666667
LSM Tree,put,1000,797,0.797,1254705.1442910915
LSM Tree,get,100,25,0.25,4000000
LSM Tree,delete,10,13,1.3,769230.7692307692
LSM Tree,range,10,4,0.4,2500000
LSM Tree,put,1000,905,0.905,1104972.3756906076
LSM Tree,get,100,28,0.28,3571428.571428571
LSM Tree,delete,10,16,1.6,625000
LSM Tree,range,10,5,0.5,2000000
LSM Tree,put,1000,1248,1.248,801282.0512820513
LSM Tree,get,100,40,0.4,2500000
LSM Tree,delete,10,20,2,500000
LSM Tree,range,10,7,0.7,1428571.4285714286
LSM Tree,put,1000,1263,1.263,791765.6373713381
LSM Tree,get,100,40,0.4,2500000
LSM Tree,delete,10,20,2,500000
LSM Tree,range,10,6,0.6,1666666.6666666667
LSM Tree,put,1000,1197,1.197,835421.8880534669
LSM Tree,get,100,38,0.38,2631578.947368421
LSM Tree,delete,10,19,1.9,526315.7894736843
LSM Tree,range,10,6,0.6,1666666.6666666667
LSM Tree,put,1000,1244,1.244,803858.5209003215
LSM Tree,get,100,40,0.4,2500000
LSM Tree,delete,10,20,2,500000
LSM Tree,range,10,7,0.7,1428571.4285714286
LSM Tree,put,1000,906,0.906,1103752.7593818984
LSM Tree,get,100,28,0.28,3571428.571428571
LSM Tree,delete,10,16,1.6,625000
LSM Tree,range,10,5,0.5,2000000
LSM Tree,put,1000,790,0.79,1265822.7848101265
LSM Tree,get,100,24,0.24,4166666.666666667
LSM Tree,delete,10,14,1.4,714285.7142857143
LSM Tree,range,10,4,0.4,2500000
LSM Tree,put,1000,1224,1.224,816993.4640522876
LSM Tree,get,100,48,0.48,2083333.3333333335
LSM Tree,delete,10,21,2.1,476190.47619047615
LSM Tree,range,10,7,0.7,1428571.4285714286
LSM Tree,put,1000,803,0.803,1245330.0124533
LSM Tree,get,100,25,0.25,4000000
LSM Tree,delete,10,13,1.3,769230.7692307692
LSM Tree,range,10,4,0.4,2500000
LSM Tree,put,1000,797,0.797,1254705.1442910915
LSM Tree,get,100,25,0.25,4000000
LSM Tree,delete,10,13,1.3,769230.7692307692
LSM Tree,range,10,4,0.4,2500000
LSM Tree,put,1000,1155,1.155,865800.8658008658
LSM Tree,get,100,36,0.36,2777777.777777778
LSM Tree,delete,10,19,1.9,526315.7894736843
LSM Tree,range,10,6,0.6,1666666.6666666667
LSM Tree,put,1000,1182,1.182,846023.6886632827
LSM Tree,get,100,37,0.37,2702702.702702703
LSM Tree,delete,10,19,1.9,526315.7894736843
LSM Tree,range,10,7,0.7,1428571.4285714286
LSM Tree,put,1000,1024,1.024,976562.5
LSM Tree,get,100,33,0.33,3030303.0303030303
LSM Tree,delete,10,19,1.9,526315.7894736843
LSM Tree,range,10,6,0.6,1666666.6666666667
LSM Tree,put,1000,1338,1.338,747384.1554559043
LSM Tree,get,100,43,0.43,2325581.395348837
LSM Tree,delete,10,22,2.2,454545.45454545453
LSM Tree,range,10,7,0.7,1428571.4285714286
LSM Tree,put,1000,1209,1.209,827129.8593879238
LSM Tree,get,100,47,0.47,2127659.574468085
LSM Tree,delete,10,20,2,500000
LSM Tree,range,10,6,0.6,1666666.6666666667
LSM Tree,put,1000,555,0.555,1801801.8018018017
LSM Tree,get,100,17,0.17,5882352.94117647
LSM Tree,delete,10,9,0.9,1111111.111111111
LSM Tree,range,10,3,0.3,3333333.3333333335
LSM Tree,put,1000,971,0.971,1029866.1174047374
LSM Tree,get,100,31,0.31,3225806.4516129033
LSM Tree,delete,10,16,1.6,625000
LSM Tree,range,10,5,0.5,2000000
LSM Tree,put,1000,1231,1.231,812347.6848090983
LSM Tree,get,100,39,0.39,2564102.564102564
LSM Tree,delete,10,20,2,500000
LSM Tree,range,10,6,0.6,1666666.6666666667
LSM Tree,put,1000,1149,1.149,870322.0191470844
LSM Tree,get,100,36,0.36,2777777.777777778
LSM Tree,delete,10,21,2.1,476190.47619047615
LSM Tree,range,10,6,0.6,1666666.6666666667
LSM Tree,put,1000,1181,1.181,846740.050804403
LSM Tree,get,100,44,0.44,2272727.272727273
LSM Tree,delete,10,19,1.9,526315.7894736843
LSM Tree,range,10,6,0.6,1666666.6666666667
LSM Tree,put,1000,1196,1.196,836120.4013377926
LSM Tree,get,100,38,0.38,2631578.947368421
LSM Tree,delete,10,20,2,500000
LSM Tree,range,10,6,0.6,1666666.6666666667
LSM Tree,put,1000,980,0.98,1020408.1632653062
LSM Tree,get,100,30,0.3,3333333.3333333335
LSM Tree,delete,10,17,1.7,588235.2941176471
LSM Tree,range,10,5,0.5,2000000
LSM Tree,put,1000,815,0.815,1226993.865030675
LSM Tree,get,100,26,0.26,3846153.846153846
LSM Tree,delete,10,13,1.3,769230.7692307692
LSM Tree,range,10,4,0.4,2500000
LSM Tree,put,1000,1209,1.209,827129.8593879238
LSM Tree,get,100,38,0.38,2631578.947368421
LSM Tree,delete,10,20,2,500000
LSM Tree,range,10,6,0.6,1666666.6666666667
LSM Tree,put,1000,1039,1.039,962463.9076034649
LSM Tree,get,100,33,0.33,3030303.0303030303
LSM Tree,delete,10,17,1.7,588235.2941176471
LSM Tree,range,10,5,0.5,2000000
LSM Tree,put,1000,1240,1.24,806451.6129032258
LSM Tree,get,100,39,0.39,2564102.564102564
LSM Tree,delete,10,22,2.2,454545.45454545453
LSM Tree,range,10,6,0.6,1666666.6666666667
LSM Tree,put,1000,1124,1.124,889679.715302491
LSM Tree,get,100,37,0.37,2702702.702702703
LSM Tree,delete,10,18,1.8,555555.5555555555
LSM Tree,range,10,6,0.6,1666666.6666666667
LSM Tree,put,1000,1135,1.135,881057.268722467
LSM Tree,get,100,36,0.36,2777777.777777778
LSM Tree,delete,10,19,1.9,526315.7894736843
LSM Tree,range,10,6,0.6,1666666.6666666667
LSM Tree,put,1000,1160,1.16,862068.9655172414
LSM Tree,get,100,36,0.36,2777777.777777778
LSM Tree,delete,10,19,1.9,526315.7894736843
LSM Tree,range,10,6,0.6,1666666.6666666667
LSM Tree,put,1000,709,0.709,1410437.2355430184
LSM Tree,get,100,22,0.22,4545454.545454546
LSM Tree,delete,10,11,1.1,909090.9090909091
LSM Tree,range,10,4,0.4,2500000
LSM Tree,put,1000,928,0.928,1077586.2068965517
LSM Tree,get,100,29,0.29,3448275.8620689656
LSM Tree,delete,10,16,1.6,625000
LSM Tree,range,10,5,0.5,2000000
LSM Tree,put,1000,1126,1.126,888099.4671403198
LSM Tree,get,100,45,0.45,2222222.222222222
LSM Tree,delete,10,22,2.2,454545.45454545453
LSM Tree,range,10,6,0.6,1666666.6666666667
LSM Tree,put,1000,880,0.88,1136363.6363636365
LSM Tree,get,100,29,0.29,3448275.8620689656
LSM Tree,delete,10,14,1.4,714285.7142857143
LSM Tree,range,10,4,0.4,2500000
LSM Tree,put,1000,1183,1.183,845308.5376162298
LSM Tree,get,100,39,0.39,2564102.564102564
LSM Tree,delete,10,19,1.9,526315.7894736843
LSM Tree,range,10,6,0.6,1666666.6666666667
LSM Tree,put,1000,1217,1.217,821692.6869350863
LSM Tree,get,100,38,0.38,2631578.947368421
LSM Tree,delete,10,20,2,500000
LSM Tree,range,10,7,0.7,1428571.4285714286
LSM Tree,put,1000,738,0.738,1355013.5501355014
LSM Tree,get,100,23,0.23,4347826.0869565215
LSM Tree,delete,10,12,1.2,833333.3333333334
LSM Tree,range,10,6,0.6,1666666.6666666667
LSM Tree,put,1000,1168,1.168,856164.3835616439
LSM Tree,get,100,37,0.37,2702702.702702703
LSM Tree,delete,10,20,2,500000
LSM Tree,range,10,6,0.6,1666666.6666666667
LSM Tree,put,1000,1175,1.175,851063.829787234
LSM Tree,get,100,37,0.37,2702702.702702703
LSM Tree,delete,10,24,2.4,416666.6666666667
LSM Tree,range,10,6,0.6,1666666.6666666667
LSM Tree,put,1000,792,0.792,1262626.2626262626
LSM Tree,get,100,24,0.24,4166666.666666667
LSM Tree,delete,10,12,1.2,833333.3333333334
LSM Tree,range,10,4,0.4,2500000
