db_name,operation,count,total_time_micros,avg_time_micros,throughput_ops_per_sec
LSM Tree,put,1000,563,0.563,1776198.9342806395
LSM Tree,get,100,17,0.17,5882352.94117647
LSM Tree,delete,10,9,0.9,1111111.111111111
LSM Tree,range,10,7,0.7,1428571.4285714286
LSM Tree,put,1000,788,0.788,1269035.5329949239
LSM Tree,get,100,25,0.25,4000000
LSM Tree,delete,10,14,1.4,714285.7142857143
LSM Tree,range,10,4,0.4,2500000
LSM Tree,put,1000,1211,1.211,825763.8315441783
LSM Tree,get,100,36,0.36,2777777.777777778
LSM Tree,delete,10,20,2,500000
LSM Tree,range,10,6,0.6,1666666.6666666667
LSM Tree,put,1000,811,0.811,1233045.6226880394
LSM Tree,get,100,25,0.25,4000000
LSM Tree,delete,10,14,1.4,714285.7142857143
LSM Tree,range,10,4,0.4,2500000
LSM Tree,put,1000,1160,1.16,862068.9655172414
LSM Tree,get,100,36,0.36,2777777.777777778
LSM Tree,delete,10,30,3,333333.3333333333
LSM Tree,range,10,6,0.6,1666666.6666666667
LSM Tree,put,1000,1170,1.17,854700.8547008547
LSM Tree,get,100,36,0.36,2777777.777777778
LSM Tree,delete,10,20,2,500000
LSM Tree,range,10,6,0.6,1666666.6666666667
LSM Tree,put,1000,768,0.768,1302083.3333333333
LSM Tree,get,100,24,0.24,4166666.666666667
LSM Tree,delete,10,13,1.3,769230.7692307692
LSM Tree,range,10,4,0.4,2500000
LSM Tree,put,1000,749,0.749,1335113.4846461948
LSM Tree,get,100,23,0.23,4347826.0869565215
LSM Tree,delete,10,12,1.2,833333.3333333334
LSM Tree,range,10,4,0.4,2500000
LSM Tree,put,1000,1233,1.233,811030.0081103
LSM Tree,get,100,38,0.38,2631578.947368421
LSM Tree,delete,10,22,2.2,454545.45454545453
LSM Tree,range,10,6,0.6,1666666.6666666667
LSM Tree,put,1000,1319,1.319,758150.113722517
LSM Tree,get,100,50,0.5,2000000
LSM Tree,delete,10,22,2.2,454545.45454545453
LSM Tree,range,10,7,0.7,1428571.4285714286
LSM Tree,put,1000,1232,1.232,811688.3116883117
LSM Tree,get,100,37,0.37,2702702.702702703
LSM Tree,delete,10,21,2.1,476190.47619047615
LSM Tree,range,10,6,0.6,1666666.6666666667
LSM Tree,put,1000,1341,1.341,745712.1551081283
LSM Tree,get,100,40,0.4,2500000
LSM Tree,delete,10,22,2.2,454545.45454545453
LSM Tree,range,10,7,0.7,1428571.4285714286
LSM Tree,put,1000,1259,1.259,794281.1755361399
LSM Tree,get,100,39,0.39,2564102.564102564
LSM Tree,delete,10,23,2.3,434782.6086956522
LSM Tree,range,10,6,0.6,1666666.6666666667
LSM Tree,put,1000,1040,1.04,961538.4615384615
LSM Tree,get,100,32,0.32,3125000
LSM Tree,delete,10,17,1.7,588235.2941176471
LSM Tree,range,10,13,1.3,769230.7692307692
LSM Tree,put,1000,907,0.907,1102535.8324145535
LSM Tree,get,100,28,0.28,3571428.571428571
LSM Tree,delete,10,15,1.5,666666.6666666666
LSM Tree,range,10,5,0.5,2000000
LSM Tree,put,1000,1311,1.311,762776.5064836004
LSM Tree,get,100,41,0.41,2439024.390243903
LSM Tree,delete,10,22,2.2,454545.45454545453
LSM Tree,range,10,7,0.7,1428571.4285714286
LSM Tree,put,1000,1193,1.193,838222.9673093043
LSM Tree,get,100,37,0.37,2702702.702702703
LSM Tree,delete,10,21,2.1,476190.47619047615
LSM Tree,range,10,6,0.6,1666666.6666666667
LSM Tree,put,1000,1414,1.414,707213.5785007073
LSM Tree,get,100,43,0.43,2325581.395348837
LSM Tree,delete,10,24,2.4,416666.6666666667
LSM Tree,range,10,7,0.7,1428571.4285714286
LSM Tree,put,1000,1308,1.308,764525.993883792
LSM Tree,get,100,40,0.4,2500000
LSM Tree,delete,10,22,2.2,454545.45454545453
LSM Tree,range,10,7,0.7,1428571.4285714286
LSM Tree,put,1000,978,0.978,1022494.8875255624
