db_name,operation,count,total_time_micros,avg_time_micros,throughput_ops_per_sec
LSM Tree,put,1000,262,0.262,3816793.8931297706
LSM Tree,get,100,7,0.07,14285714.285714284
LSM Tree,delete,10,4,0.4,2500000
LSM Tree,range,10,3,0.3,3333333.3333333335
LSM Tree,put,1000,1238,1.238,807754.4426494346
LSM Tree,get,100,38,0.38,2631578.947368421
LSM Tree,delete,10,29,2.9,344827.5862068966
LSM Tree,range,10,7,0.7,1428571.4285714286
LSM Tree,put,1000,1229,1.229,813669.6501220504
LSM Tree,get,100,37,0.37,2702702.702702703
LSM Tree,delete,10,20,2,500000
LSM Tree,range,10,6,0.6,1666666.6666666667
LSM Tree,put,1000,1252,1.252,798722.0447284345
LSM Tree,get,100,38,0.38,2631578.947368421
LSM Tree,delete,10,21,2.1,476190.47619047615
LSM Tree,range,10,6,0.6,1666666.6666666667
LSM Tree,put,1000,1228,1.228,814332.2475570033
LSM Tree,get,100,38,0.38,2631578.947368421
LSM Tree,delete,10,20,2,500000
LSM Tree,range,10,6,0.6,1666666.6666666667
LSM Tree,put,1000,717,0.717,1394700.139470014
LSM Tree,get,100,21,0.21,4761904.761904762
LSM Tree,delete,10,17,1.7,588235.2941176471
LSM Tree,range,10,3,0.3,3333333.3333333335
LSM Tree,put,1000,1220,1.22,819672.131147541
LSM Tree,get,100,37,0.37,2702702.702702703
LSM Tree,delete,10,29,2.9,344827.5862068966
LSM Tree,range,10,7,0.7,1428571.4285714286
LSM Tree,put,1000,1235,1.235,809716.5991902833
LSM Tree,get,100,37,0.37,2702702.702702703
LSM Tree,delete,10,21,2.1,476190.47619047615
LSM Tree,range,10,6,0.6,1666666.6666666667
LSM Tree,put,1000,1237,1.237,808407.4373484235
LSM Tree,get,100,45,0.45,2222222.222222222
LSM Tree,delete,10,22,2.2,454545.45454545453
LSM Tree,range,10,7,0.7,1428571.4285714286
LSM Tree,put,1000,1226,1.226,815660.6851549755
LSM Tree,get,100,37,0.37,2702702.702702703
LSM Tree,delete,10,21,2.1,476190.47619047615
LSM Tree,range,10,6,0.6,1666666.6666666667
LSM Tree,put,1000,1248,1.248,801282.0512820513
LSM Tree,get,100,37,0.37,2702702.702702703
LSM Tree,delete,10,21,2.1,476190.47619047615
LSM Tree,range,10,6,0.6,1666666.6666666667
LSM Tree,put,1000,1350,1.35,740740.7407407407
LSM Tree,get,100,42,0.42,2380952.380952381
LSM Tree,delete,10,22,2.2,454545.45454545453
LSM Tree,range,10,7,0.7,1428571.4285714286
LSM Tree,put,1000,1061,1.061,942507.0688030161
LSM Tree,get,100,39,0.39,2564102.564102564
LSM Tree,delete,10,19,1.9,526315.7894736843
LSM Tree,range,10,5,0.5,2000000
LSM Tree,put,1000,1217,1.217,821692.6869350863
LSM Tree,get,100,37,0.37,2702702.702702703
LSM Tree,delete,10,20,2,500000
