operation,workload_size,LMDB,LSM Tree,LevelDB,RocksDB,SpeedB,TerarkDB,WiredTiger,LSM vs LMDB,LSM vs LevelDB,LSM vs RocksDB,LSM vs SpeedB,LSM vs TerarkDB,LSM vs WiredTiger,SpeedB vs RocksDB
delete,Medium,627177.101472033,646584.9079281585,794894.9048804381,140739.0266566261,158719.02338579023,,,1.0309446987311461,0.8134218799973473,4.594211877745119,4.073770705837432,,,1.1277541642591544
delete,Small,283066.0421794615,545415.0359147976,422200.14492424665,91168.43393013914,92318.9156161286,,,1.9268119613196448,1.2918400016481728,5.982498682962351,5.907944566665932,,,1.0126192985487832
get,Large,,122235.08873750515,2569874.28472161,501282.5028366363,505623.83442555135,3155820.0,1879310.67,,0.04756461802984525,0.24384471439917887,0.2417510418122965,0.03873322582958,0.06504251302819727,1.008660449076815
get,Medium,4891951.817490136,2912538.223227218,2001725.9684966507,289861.39160672243,328774.0175866342,,,0.5953734484493602,1.455013457918324,10.048037812427554,8.858784658856882,,,1.1342456329358537
get,Small,2346781.7990859267,3316459.418499395,1063668.2444991085,163154.37229508974,177838.3455400585,,,1.4131946224362053,3.117945313918013,20.327125604093947,18.64873072468139,,,1.0900004887298427
put,Large,,3625935.82322379,1364534.0488333246,461955.5584695966,465859.74919340346,1136460.0,982945.89,,2.6572703160642726,7.8491009724746705,7.783320687184909,3.190552965545457,3.688845805361463,1.0084514422485595
put,Medium,687972.2717877491,1016104.7318754636,840106.3245878429,265132.56769616395,299722.49649730243,,,1.4769559378244081,1.2094953961618675,3.8324402796109798,3.3901517028255794,,,1.1304627684999369
put,Small,311200.36878521973,1036724.1987487763,418707.84941338014,151553.25739824492,166629.7043315565,,,3.3313720121722907,2.4760085109492267,6.840659293943901,6.221725009401222,,,1.0994795307744152
range,Large,,5000000.0,,,,1774.0,29325.51,,,,,2818.489289740699,170.50001858450204,
range,Medium,4006635.1821429436,2252840.1558332783,6130.108055513709,26239.77290422952,29133.611850435493,,,0.5622773358238096,367.5041508945291,85.85593191129138,77.32787020705786,,,1.1102844508894176
range,Small,1848831.6856786152,1796060.2892602915,11255.89605663125,22836.268437146733,25493.203684137236,,,0.9714568952776499,159.56617582677197,78.64946474086462,70.45251399210618,,,1.1163471717939952
